index,nome_sub_familia,quantidade,total_qtd,percent_qtd
106,ENXAGUATORIO BUCAL,29.0,572621.6050000001,0.0050644264461519916
182,LIMPADOR USO GERAL,29.0,572621.6050000001,0.0050644264461519916
265,SODAS CAUSTICAS,29.0,572621.6050000001,0.0050644264461519916
85,CREME/LOCAO/ESPUMA BARBA,28.0,572621.6050000001,0.004889791051457096
52,CASCOS,27.0,572621.6050000001,0.004715155656762199
66,CHUVEIROS,26.0,572621.6050000001,0.004540520262067303
213,PAPINHA INFANTIL,26.0,572621.6050000001,0.004540520262067303
231,QUEIJO M.DIVERSOS,25.060000000000002,572621.6050000001,0.004376362991054101
202,OUTRAS MISTURAS,25.0,572621.6050000001,0.004365884867372406
135,FRUTAS SECAS,24.586000000000002,572621.6050000001,0.00429358581396872
94,DESODORANTE ROLLON,24.0,572621.6050000001,0.00419124947267751
50,CARGAS,24.0,572621.6050000001,0.00419124947267751
171,LENCOS PAPEL,23.0,572621.6050000001,0.004016614077982614
73,CONFEITOS,23.0,572621.6050000001,0.004016614077982614
153,INATIVOS,23.0,572621.6050000001,0.004016614077982614
212,PAPELARIA,23.0,572621.6050000001,0.004016614077982614
193,MEL,22.0,572621.6050000001,0.003841978683287718
269,SORVETE PICOLE,22.0,572621.6050000001,0.003841978683287718
88,CURATIVOS,21.0,572621.6050000001,0.0036673432885928215
90,DERIVADOS BOVINOS,21.0,572621.6050000001,0.0036673432885928215
64,CHOCOLATES PO,20.0,572621.6050000001,0.0034927078938979256
264,SOBREMESAS PO,20.0,572621.6050000001,0.0034927078938979256
81,CREME DE TRATAMENTO,19.0,572621.6050000001,0.0033180724992030288
228,PURE DE BATATA,17.0,572621.6050000001,0.0029688017098132365
7,ADOCANTES,16.0,572621.6050000001,0.00279416631511834
101,DOCES ACUCARADOS,16.0,572621.6050000001,0.00279416631511834
143,GORDURAS,15.0,572621.6050000001,0.002619530920423444
173,LICOR,15.0,572621.6050000001,0.002619530920423444
3,ACESSORIOS P/ANIMAIS,15.0,572621.6050000001,0.002619530920423444
251,SAKE,15.0,572621.6050000001,0.002619530920423444
250,SAGU,15.0,572621.6050000001,0.002619530920423444
246,SABONETE INTIMO,15.0,572621.6050000001,0.002619530920423444
217,PEPININHOS,14.0,572621.6050000001,0.002444895525728548
70,COLONIAS/TALCOS,12.0,572621.6050000001,0.002095624736338755
241,ROCAMBOLES/RECHEADOS,12.0,572621.6050000001,0.002095624736338755
105,ENXAGUANTE,12.0,572621.6050000001,0.002095624736338755
211,PAPEL MANTEIGA,12.0,572621.6050000001,0.002095624736338755
249,SACOLAS/TAPETES,10.0,572621.6050000001,0.0017463539469489628
280,TERMICOS,10.0,572621.6050000001,0.0017463539469489628
174,LIMPA FORNO/PEDRAS,10.0,572621.6050000001,0.0017463539469489628
263,SOBREMESAS DIET/LIGH,10.0,572621.6050000001,0.0017463539469489628
142,GOMA P/PASSAR,10.0,572621.6050000001,0.0017463539469489628
151,HIGIENE,9.0,572621.6050000001,0.0015717185522540664
170,LEITE PO ESPECIAIS,8.0,572621.6050000001,0.00139708315755917
176,LIMPADOR C/CERA,8.0,572621.6050000001,0.00139708315755917
103,EMBALAGENS/USO GERAL,8.0,572621.6050000001,0.00139708315755917
244,SABAO PASTA,7.0,572621.6050000001,0.001222447762864274
44,BRINQUEDOS,6.0,572621.6050000001,0.0010478123681693775
89,CURAU,6.0,572621.6050000001,0.0010478123681693775
